id_partido_politico,entidad,descripcion
1,Aguascalientes,Fuerza por México Aguascalientes
2,Aguascalientes,Movimiento de Regeneración Nacional (MORENA)
3,Aguascalientes,Partido Acción Nacional (PAN)
4,Aguascalientes,Partido de la Revolución Democrática (PRD)
5,Aguascalientes,Partido del Trabajo (PT)
6,Aguascalientes,Movimiento Ciudadano (MC)
7,Aguascalientes,Partido Revolucionario Institucional (PRI)
8,Aguascalientes,Partido Verde Ecologista de México (PVEM)
9,Aguascalientes,Otro grupo parlamentario (especifique)
10,Baja California,Partido Encuentro Social de Baja California
11,Baja California,Movimiento de Regeneración Nacional (MORENA)
12,Baja California,Partido Acción Nacional (PAN)
13,Baja California,Partido de la Revolución Democrática (PRD)
14,Baja California,Partido del Trabajo (PT)
15,Baja California,Movimiento Ciudadano (MC)
16,Baja California,Partido Revolucionario Institucional (PRI)
17,Baja California,Partido Verde Ecologista de México (PVEM)
18,Baja California,Partido Estatal de Baja California
19,Baja California,Redes Sociales Progresistas
20,Baja California,Fuerza Social por México
21,Baja California,Nacional Encuentro Solidario
22,Baja California,Otro grupo parlamentario (especifique)
23,Baja California Sur,Partido Humanista de Baja California Sur
24,Baja California Sur,BCS Coherente
25,Baja California Sur,Partido de Renovación Sudcaliforniana
26,Baja California Sur,Nueva Alianza Baja California Sur
27,Baja California Sur,Fuerza por México Baja California Sur
28,Baja California Sur,Movimiento de Regeneración Nacional (MORENA)
29,Baja California Sur,Partido Acción Nacional (PAN)
30,Baja California Sur,Partido de la Revolución Democrática (PRD)
31,Baja California Sur,Partido del Trabajo (PT)
32,Baja California Sur,Movimiento Ciudadano (MC)
33,Baja California Sur,Partido Revolucionario Institucional (PRI)
34,Baja California Sur,Partido Verde Ecologista de México (PVEM)
35,Baja California Sur,Otro grupo parlamentario (especifique)
36,Campeche,Movimiento de Regeneración Nacional (MORENA)
37,Campeche,Partido Acción Nacional (PAN)
38,Campeche,Partido de la Revolución Democrática (PRD)
39,Campeche,Partido del Trabajo (PT)
40,Campeche,Movimiento Ciudadano (MC)
41,Campeche,Partido Revolucionario Institucional (PRI)
42,Campeche,Partido Verde Ecologista de México (PVEM)
43,Campeche,Otro grupo parlamentario (especifique)
44,Coahuila de Zaragoza,Unidad Democrática de Coahuila
45,Coahuila de Zaragoza,Movimiento de Regeneración Nacional (MORENA)
46,Coahuila de Zaragoza,Partido Acción Nacional (PAN)
47,Coahuila de Zaragoza,Partido de la Revolución Democrática (PRD)
48,Coahuila de Zaragoza,Partido del Trabajo (PT)
49,Coahuila de Zaragoza,Movimiento Ciudadano (MC)
50,Coahuila de Zaragoza,Partido Revolucionario Institucional (PRI)
51,Coahuila de Zaragoza,Partido Verde Ecologista de México (PVEM)
52,Coahuila de Zaragoza,Otro grupo parlamentario (especifique)
53,Colima,Nueva Alianza Colima
54,Colima,Partido Encuentro Solidario Colima
55,Colima,Partido Fuerza por México Colima
56,Colima,Movimiento de Regeneración Nacional (MORENA)
57,Colima,Partido Acción Nacional (PAN)
58,Colima,Partido de la Revolución Democrática (PRD)
59,Colima,Partido del Trabajo (PT)
60,Colima,Movimiento Ciudadano (MC)
61,Colima,Partido Revolucionario Institucional (PRI)
62,Colima,Partido Verde Ecologista de México (PVEM)
63,Colima,Otro grupo parlamentario (especifique)
64,Chiapas,Partido Chiapas Unido
65,Chiapas,Podemos Mover a Chiapas
66,Chiapas,Nueva Alianza Chiapas 
67,Chiapas,Partido Popular Chiapaneco
68,Chiapas,Redes Sociales Progresistas Chiapas
69,Chiapas,Partido Encuentro Solidario Chiapas
70,Chiapas,Movimiento de Regeneración Nacional (MORENA)
71,Chiapas,Partido Acción Nacional (PAN)
72,Chiapas,Partido Revolucionario Institucional (PRI)
73,Chiapas,Partido Verde Ecologista de México (PVEM)
74,Chiapas,Partido de la Revolución Democrática (PRD)
75,Chiapas,Partido del Trabajo (PT)
76,Chiapas,Movimiento Ciudadano (MC)
77,Chiapas,Fuerza por México
78,Chiapas,Otro grupo parlamentario (especifique)
79,Chihuahua,Pueblo
80,Chihuahua,Movimiento No Mas Políticos (NMP)
81,Chihuahua,Partido Movimiento Laborista Chihuahua
82,Chihuahua,México Republicano
83,Chihuahua,Trabajando por Chihuahua
